Columna1,Fecha venta,ID_producto,ID_Zona,Venta,ID_Vendedor,ID_Cliente
47,"2016-01-17",6,4,249418,13,10
48,"2016-01-17",5,4,1457488,35,3
49,"2016-01-17",2,2,321680,46,2
50,"2016-01-17",2,3,957625,31,2
51,"2016-01-17",5,1,568620,27,2
52,"2016-01-19",2,1,1605564,33,10
53,"2016-01-19",4,3,1438748,45,4
54,"2016-01-19",4,4,686996,42,3
55,"2016-01-19",2,2,983234,39,8
56,"2016-01-20",6,1,239220,11,2
57,"2016-01-20",3,1,512730,15,1
58,"2016-01-21",2,2,2287626,29,2
59,"2016-01-21",5,3,1373816,3,4
60,"2016-01-21",3,1,1920240,2,9
61,"2016-01-21",4,3,1140840,40,7
62,"2016-01-21",5,3,1142938,22,8
63,"2016-01-22",6,4,738144,30,3
64,"2016-01-23",5,1,509010,40,9
65,"2016-01-23",3,3,1436832,38,5
66,"2016-01-24",4,1,2119424,38,10
67,"2016-01-24",5,4,948927,11,2
68,"2016-01-24",2,4,376992,13,9
69,"2016-01-24",2,2,2212408,32,5
70,"2016-01-25",4,3,1647695,39,9
71,"2016-01-25",4,2,1939925,15,6
72,"2016-01-25",4,3,1478952,14,3
73,"2016-01-25",1,4,320044,3,10
74,"2016-01-26",5,2,1098055,47,3
75,"2016-01-26",4,3,187862,25,5
76,"2016-01-26",4,3,1757106,26,6
77,"2016-01-27",5,3,1104992,3,6
78,"2016-01-28",6,1,448485,16,1
79,"2016-01-28",1,4,2520484,25,1
80,"2016-01-28",1,4,1339107,23,3
81,"2016-01-29",5,4,1812244,14,6
82,"2016-01-30",1,2,1069731,15,10
83,"2016-01-30",4,1,471072,34,8
84,"2016-01-30",6,4,470940,41,10
85,"2016-01-30",2,4,925322,19,10
86,"2016-01-31",6,2,2141700,36,1
87,"2016-01-31",5,4,778875,32,10
88,"2016-01-31",1,3,421196,24,1
89,"2016-02-01",2,4,219716,30,1
90,"2016-02-01",4,2,2685816,1,4
91,"2016-02-01",5,4,723609,24,7
92,"2016-02-02",6,4,388032,8,9
93,"2016-02-02",5,3,922020,11,10
94,"2016-02-03",5,4,965358,18,7
95,"2016-02-03",2,4,663816,22,5
96,"2016-02-04",5,3,728931,8,6
97,"2016-02-04",4,3,625536,25,5
98,"2016-02-04",7,1,1467782,47,5
99,"2016-02-04",5,2,2067236,11,6
100,"2016-02-05",2,3,531375,45,3
101,"2016-02-05",4,2,710694,37,8
102,"2016-02-05",2,4,438435,16,8
103,"2016-02-05",4,2,1188090,9,4
104,"2016-02-06",3,3,699400,16,2
105,"2016-02-07",6,2,1854496,40,6
106,"2016-02-07",6,1,2105700,15,5
107,"2016-02-07",4,2,1791318,44,9
108,"2016-02-09",4,3,1782297,20,6
109,"2016-02-09",4,4,1528200,45,1
110,"2016-02-09",1,4,1587642,5,8
111,"2016-02-10",4,3,954666,12,1
112,"2016-02-10",2,1,1064800,2,7
113,"2016-02-10",4,4,887241,30,7
114,"2016-02-11",4,2,806799,33,5
115,"2016-02-11",5,3,438750,23,9
116,"2016-02-12",1,2,973659,37,3
117,"2016-02-12",3,2,1724008,30,6
118,"2016-02-12",3,2,2047276,1,2
119,"2016-02-13",1,1,307989,47,4
120,"2016-02-13",6,3,973878,12,2
121,"2016-02-14",1,4,688864,30,7
122,"2016-02-14",4,4,1385910,9,6
123,"2016-02-14",2,2,1461356,49,1
124,"2016-02-15",4,3,926228,18,8
125,"2016-02-16",5,2,1067192,8,4
126,"2016-02-16",5,3,1373132,49,6
127,"2016-02-17",5,4,1087119,20,3
128,"2016-02-17",4,3,1230190,40,2
129,"2016-02-18",1,1,1363926,49,10
130,"2016-02-18",3,3,1389096,16,1
131,"2016-02-18",2,1,477345,41,8
132,"2016-02-18",3,3,1268630,35,8
133,"2016-02-19",4,3,391964,15,3
134,"2016-02-19",3,3,1765225,4,3
135,"2016-02-19",2,1,229455,45,4
136,"2016-02-20",3,1,624435,1,1
137,"2016-02-20",4,4,686154,27,10
138,"2016-02-21",5,2,678480,11,1
139,"2016-02-23",2,3,533925,46,8
140,"2016-02-23",6,4,1076034,41,4
141,"2016-02-24",4,4,455477,25,6
142,"2016-02-24",3,3,1128156,10,5
143,"2016-02-24",3,3,1310520,41,2
144,"2016-02-25",1,4,782870,2,1
145,"2016-02-25",6,2,315550,12,4
146,"2016-02-25",1,2,2028970,14,4
147,"2016-02-25",1,4,734388,47,2
148,"2016-02-25",2,4,779241,1,1
149,"2016-02-26",6,1,1492506,32,10
150,"2016-02-27",4,1,1800516,35,4
151,"2016-02-27",3,1,1259904,30,2
152,"2016-02-28",3,3,1063648,40,2
153,"2016-02-28",6,1,434656,35,5
154,"2016-02-28",5,1,508924,35,5
155,"2016-02-29",4,2,1403595,24,9
156,"2016-02-29",4,2,1561432,19,2
157,"2016-02-29",3,3,1891932,31,4
158,"2016-02-29",7,1,731700,21,7
159,"2016-03-01",2,1,563178,36,9
160,"2016-03-01",4,3,875228,45,7
161,"2016-03-01",4,3,1305480,25,10
162,"2016-03-02",6,1,1361675,3,5
163,"2016-03-02",2,3,1161090,10,2
164,"2016-03-02",3,2,1395681,28,10
165,"2016-03-02",5,3,1001104,31,8
166,"2016-03-03",3,3,2275500,45,3
167,"2016-03-03",1,2,1370759,42,5
168,"2016-03-03",4,1,1842035,44,2
169,"2016-03-04",5,4,2080078,7,6
170,"2016-03-05",4,1,597286,47,9
171,"2016-03-05",4,2,1358640,18,6
172,"2016-03-05",6,3,558252,45,8
173,"2016-03-06",3,2,2400476,45,4
174,"2016-03-06",6,1,1131416,49,6
175,"2016-03-07",2,4,416936,1,5
176,"2016-03-07",5,1,1658835,13,2
177,"2016-03-08",4,3,1431012,9,8
178,"2016-03-08",2,3,513300,7,5
179,"2016-03-09",5,4,848328,16,6
180,"2016-03-09",4,3,1874928,27,6
181,"2016-03-09",3,3,367584,43,6
182,"2016-03-10",2,3,1323054,42,2
183,"2016-03-11",2,2,1446522,31,6
184,"2016-03-11",4,3,1447992,15,1
185,"2016-03-12",5,4,2109930,46,7
186,"2016-03-13",7,2,779868,2,1
187,"2016-03-13",2,4,919030,41,4
188,"2016-03-13",7,1,537264,40,4
189,"2016-03-14",1,2,1261600,13,9
190,"2016-03-14",1,1,448210,21,2
191,"2016-03-15",4,3,431325,20,10
192,"2016-03-15",2,2,553616,49,4
193,"2016-03-15",4,3,453651,22,5
194,"2016-03-16",2,2,986895,24,10
195,"2016-03-16",6,2,250852,44,7
196,"2016-03-17",6,4,1336717,38,1
197,"2016-03-17",6,3,519738,45,9
198,"2016-03-18",3,2,720882,20,1
199,"2016-03-18",3,1,842343,17,4
200,"2016-03-19",1,3,2108343,45,7
201,"2016-03-19",1,2,1050985,45,3
202,"2016-03-19",6,2,298272,23,4
203,"2016-03-19",2,2,902798,28,1
204,"2016-03-20",2,4,692180,7,4
205,"2016-03-20",2,2,2002392,24,7
206,"2016-03-20",6,1,2253500,28,9
207,"2016-03-20",6,1,1338124,38,10
208,"2016-03-20",7,1,1369680,15,10
209,"2016-03-21",1,1,1643948,39,5
210,"2016-03-21",3,1,1297594,43,10
211,"2016-03-22",1,4,2134246,24,3
212,"2016-03-22",7,4,492156,13,4
213,"2016-03-23",4,1,1932518,13,1
214,"2016-03-23",5,2,1385011,47,6
215,"2016-03-24",1,2,1219158,29,1
216,"2016-03-24",5,3,1494892,20,5
217,"2016-03-25",5,1,1398600,32,1
218,"2016-03-26",4,3,461435,26,3
219,"2016-03-26",5,2,351256,23,6
220,"2016-03-27",5,1,1042283,41,5
221,"2016-03-27",7,4,474600,4,3
222,"2016-03-27",2,2,420660,45,7
223,"2016-03-28",4,2,489924,39,6
224,"2016-03-28",3,3,1032000,30,10
225,"2016-03-29",1,4,1069320,12,5
226,"2016-03-29",2,3,1133132,28,7
227,"2016-03-29",7,1,1670965,15,3
228,"2016-03-29",2,2,2010619,31,5
229,"2016-03-29",3,3,739206,33,7
230,"2016-03-30",3,3,1382166,11,9
231,"2016-03-31",2,4,665951,40,7
232,"2016-03-31",3,3,1479548,45,6
233,"2016-03-31",2,2,1362348,3,7
234,"2016-03-31",4,2,1722700,46,6
235,"2016-03-31",4,1,848358,43,8
236,"2016-03-31",5,2,2104286,45,4
237,"2016-04-02",6,3,1748850,42,3
238,"2016-04-02",7,4,995520,13,9
239,"2016-04-02",6,1,2338032,39,10
240,"2016-04-03",1,4,1298716,22,4
241,"2016-04-03",2,1,2038660,35,6
242,"2016-04-04",4,4,656535,32,8
243,"2016-04-04",2,1,1870546,38,1
244,"2016-04-04",2,3,1431076,44,9
245,"2016-04-05",7,4,1176597,24,2
246,"2016-04-06",2,2,1936102,1,2
247,"2016-04-06",5,4,1582527,25,8
248,"2016-04-06",4,2,873120,45,10
249,"2016-04-06",5,3,2026401,7,9
250,"2016-04-06",6,1,747075,17,10
251,"2016-04-06",4,1,1130632,22,6
252,"2016-04-06",1,1,1622040,6,1
253,"2016-04-07",1,3,567206,45,10
254,"2016-04-07",6,2,379689,37,10
255,"2016-04-07",2,4,424536,11,2
256,"2016-04-07",5,2,1620304,26,8
257,"2016-04-08",4,1,1220697,29,4
258,"2016-04-08",4,4,1099648,7,3
259,"2016-04-08",1,3,1183212,25,10
260,"2016-04-09",6,3,1750014,25,4
261,"2016-04-09",7,1,1107108,17,2
262,"2016-04-09",4,4,1449629,39,10
263,"2016-04-10",3,4,1006988,36,2
264,"2016-04-11",1,3,1770912,28,4
265,"2016-04-11",1,4,927255,25,9
266,"2016-04-11",1,3,1125792,16,9
267,"2016-04-11",4,2,1291116,20,7
268,"2016-04-12",5,2,968250,42,8
269,"2016-04-12",1,1,446888,10,1
270,"2016-04-12",1,3,1342906,17,2
271,"2016-04-12",2,1,1093281,32,10
272,"2016-04-12",4,1,2409210,47,3
273,"2016-04-12",6,1,722880,46,1
274,"2016-04-12",6,1,1102880,2,6
275,"2016-04-13",2,2,1079449,47,8
276,"2016-04-14",3,2,1039500,19,5
277,"2016-04-14",1,4,2038586,2,3
278,"2016-04-14",4,2,853750,19,10
279,"2016-04-15",4,2,1414956,43,10
280,"2016-04-15",3,4,881804,35,4
281,"2016-04-15",3,2,1081278,35,10
282,"2016-04-15",4,2,2534505,26,10
283,"2016-04-15",3,3,1336298,4,7
284,"2016-04-16",4,2,2404898,47,1
285,"2016-04-16",5,3,712712,30,7
286,"2016-04-16",5,4,523770,17,10
287,"2016-04-16",5,4,1360800,16,5
288,"2016-04-16",4,1,924294,16,8
289,"2016-04-17",4,1,895359,10,8
290,"2016-04-17",3,2,1437818,29,5
291,"2016-04-18",4,3,1877675,22,2
292,"2016-04-18",1,4,258444,31,1
293,"2016-04-19",1,2,430418,17,8
294,"2016-04-19",3,2,589960,3,4
295,"2016-04-19",3,2,786695,3,10
296,"2016-04-19",1,4,1773780,2,1
297,"2016-04-20",4,2,2699136,41,5
298,"2016-04-20",5,4,600596,31,2
299,"2016-04-20",5,2,307170,40,1
300,"2016-04-20",4,3,683230,6,8
301,"2016-04-21",4,3,1458176,12,5
302,"2016-04-21",5,2,1171894,29,3
303,"2016-04-22",3,2,1728221,26,10
304,"2016-04-23",4,4,2612566,14,7
305,"2016-04-24",3,2,1150380,22,1
306,"2016-04-24",6,1,1055912,9,1
307,"2016-04-24",5,1,1645616,24,2
308,"2016-04-25",4,4,1521216,22,5
309,"2016-04-25",6,1,1763517,31,4
310,"2016-04-25",5,1,792792,37,1
311,"2016-04-25",4,1,605425,27,10
312,"2016-04-26",5,2,1579284,40,2
313,"2016-04-27",2,4,391391,9,9
314,"2016-04-27",4,3,1386900,20,4
315,"2016-04-28",4,4,2439971,18,3
316,"2016-04-29",5,4,2571111,4,8
317,"2016-04-29",1,4,1754992,26,3
318,"2016-04-29",4,1,440772,25,1
319,"2016-04-29",6,3,961368,41,4
320,"2016-04-29",5,2,2456159,40,6
321,"2016-04-30",5,2,977740,23,10
322,"2016-04-30",4,4,255906,45,2
323,"2016-04-30",1,4,1592166,13,4
324,"2016-05-01",4,4,876060,15,7
325,"2016-05-01",6,2,332400,23,10
326,"2016-05-01",5,4,1227224,35,1
327,"2016-05-01",4,3,1022040,10,1
328,"2016-05-01",4,4,1369368,9,7
329,"2016-05-01",5,1,1922325,13,6
330,"2016-05-02",1,2,1189250,37,5
331,"2016-05-02",1,4,990355,36,4
332,"2016-05-03",2,2,877680,10,5
333,"2016-05-03",6,4,803000,25,10
334,"2016-05-04",5,3,2110966,30,2
335,"2016-05-04",6,1,634920,12,8
336,"2016-05-04",2,3,1394461,38,7
337,"2016-05-05",3,2,413610,27,4
338,"2016-05-05",3,4,361661,20,2
339,"2016-05-06",4,2,683175,38,6
340,"2016-05-07",4,1,783783,5,10
341,"2016-05-07",4,3,1990697,45,1
342,"2016-05-07",2,1,1992228,7,5
343,"2016-05-07",1,4,1178100,1,8
344,"2016-05-07",4,4,1083466,29,8
345,"2016-05-08",5,3,1263495,46,10
346,"2016-05-08",2,3,1320676,11,5
347,"2016-05-08",5,4,851852,6,7
348,"2016-05-08",3,2,1560889,43,7
349,"2016-05-09",1,3,1398852,26,6
350,"2016-05-10",3,2,680830,34,4
351,"2016-05-10",6,2,418725,44,6
352,"2016-05-11",4,3,2060550,31,7
353,"2016-05-11",6,3,1980185,15,5
354,"2016-05-11",6,2,885476,46,8
355,"2016-05-11",3,3,1181686,41,10
356,"2016-05-11",1,1,830830,10,8
357,"2016-05-12",4,2,1707944,19,8
358,"2016-05-12",6,4,1180048,13,10
359,"2016-05-12",1,1,1176630,8,10
360,"2016-05-13",2,4,896220,37,4
361,"2016-05-14",2,1,1505925,6,7
362,"2016-05-15",4,1,732495,20,3
363,"2016-05-15",4,2,378624,3,7
364,"2016-05-15",2,1,1257036,28,5
365,"2016-05-15",2,3,673355,39,4
366,"2016-05-15",3,1,961192,7,9
367,"2016-05-15",5,1,501220,16,5
368,"2016-05-15",4,2,354320,29,10
369,"2016-05-16",4,4,1238339,22,2
370,"2016-05-16",4,3,1377975,28,2
371,"2016-05-17",3,4,1109980,14,2
372,"2016-05-17",1,1,1317529,22,1
373,"2016-05-18",4,4,822811,21,5
374,"2016-05-18",6,3,895287,29,9
375,"2016-05-19",2,3,1398630,12,1
376,"2016-05-20",5,1,1210053,15,8
377,"2016-05-21",3,4,525210,11,8
378,"2016-05-21",4,2,1680000,18,7
379,"2016-05-21",6,2,812808,24,3
380,"2016-05-22",2,1,2586704,22,6
381,"2016-05-22",4,2,775884,49,6
382,"2016-05-23",4,1,2582184,42,4
383,"2016-05-23",5,1,1331166,8,5
384,"2016-05-23",1,4,1823400,31,2
385,"2016-05-23",1,4,1746405,14,9
386,"2016-05-23",1,2,830760,9,2
387,"2016-05-24",3,4,486472,19,3
388,"2016-05-25",1,2,835152,31,2
389,"2016-05-26",3,3,882784,34,9
390,"2016-05-27",1,3,389350,37,3
391,"2016-05-27",4,2,1483500,35,8
392,"2016-05-27",6,4,1560450,36,5
393,"2016-05-28",6,2,1164375,49,2
394,"2016-05-28",2,4,946792,49,2
395,"2016-05-28",4,2,1159296,19,9
396,"2016-05-28",1,1,1602544,9,1
397,"2016-05-29",1,4,933321,34,7
398,"2016-05-29",5,2,427824,46,2
399,"2016-05-29",5,3,483860,17,8
400,"2016-05-29",1,3,1225120,14,8
401,"2016-05-30",6,4,2682900,38,7
402,"2016-05-30",5,1,2188138,47,1
403,"2016-05-30",6,2,770040,44,2
404,"2016-05-31",4,1,702576,41,9
405,"2016-05-31",2,3,1804992,15,5
406,"2016-05-31",3,4,1883700,33,2
407,"2016-05-31",5,4,1383480,45,7
408,"2016-06-01",5,4,729788,38,1
409,"2016-06-01",1,2,1750089,47,1
410,"2016-06-01",6,1,435252,32,6
411,"2016-06-02",2,2,742770,2,8
412,"2016-06-02",2,2,1268952,40,2
413,"2016-06-02",6,3,1527498,15,5
414,"2016-06-03",4,1,425432,12,1
415,"2016-06-03",1,4,386584,12,8
416,"2016-06-04",3,1,1287807,43,7
417,"2016-06-04",4,4,1381506,34,7
418,"2016-06-04",5,2,2452989,39,9
419,"2016-06-04",1,2,952302,21,4
420,"2016-06-05",6,1,1019160,44,9
421,"2016-06-06",4,4,1209735,35,8
422,"2016-06-06",6,4,637308,13,4
423,"2016-06-06",2,4,1090180,34,5
424,"2016-06-06",1,4,1945755,36,4
425,"2016-06-06",4,2,1117753,45,9
426,"2016-06-06",3,1,1042659,23,9
427,"2016-06-07",6,4,583362,27,2
428,"2016-06-07",6,1,338364,46,1
429,"2016-06-08",1,3,2190493,41,5
430,"2016-06-08",3,3,1388175,46,8
431,"2016-06-08",4,3,1116441,4,7
432,"2016-06-09",3,1,1980300,45,4
433,"2016-06-10",4,3,852480,6,6
434,"2016-06-10",2,3,1898628,38,5
435,"2016-06-10",5,2,1541528,12,1
436,"2016-06-10",4,3,783195,47,7
437,"2016-06-11",1,2,909821,28,2
438,"2016-06-11",3,4,1543344,46,3
439,"2016-06-12",3,2,2524358,43,2
440,"2016-06-12",1,4,1077665,17,9
441,"2016-06-13",1,4,790602,1,10
442,"2016-06-13",1,3,872063,34,8
443,"2016-06-14",6,2,1001070,8,8
444,"2016-06-14",1,4,1005312,46,4
445,"2016-06-14",2,2,189156,7,7
446,"2016-06-14",4,3,419178,9,1
447,"2016-06-14",1,1,1779458,2,1
448,"2016-06-14",2,2,1159470,12,7
449,"2016-06-14",2,2,788948,35,7
450,"2016-06-15",5,1,1674744,46,8
451,"2016-06-15",3,4,406998,9,3
452,"2016-06-16",4,1,2097970,46,9
453,"2016-06-16",4,2,1616900,42,1
454,"2016-06-16",3,4,458568,35,1
455,"2016-06-17",1,4,2439512,28,10
456,"2016-06-17",6,1,1797120,21,10
457,"2016-06-17",4,1,511680,21,6
458,"2016-06-17",6,4,587880,30,2
459,"2016-06-18",3,2,590426,47,2
460,"2016-06-19",3,4,322322,8,4
461,"2016-06-19",4,2,412740,32,9
462,"2016-06-19",3,1,924732,47,3
463,"2016-06-20",4,2,1962380,19,1
464,"2016-06-21",4,2,836836,16,5
465,"2016-06-21",5,1,2628812,10,3
466,"2016-06-21",2,3,242704,15,7
467,"2016-06-21",2,2,520758,33,10
468,"2016-06-21",2,3,870105,9,1
469,"2016-06-21",4,4,546780,47,2
470,"2016-06-22",1,3,875544,37,9
471,"2016-06-22",4,1,801350,35,5
472,"2016-06-22",4,3,1820016,13,7
473,"2016-06-22",1,1,872760,26,3
474,"2016-06-22",4,2,1622646,12,5
475,"2016-06-22",4,3,568480,35,6
476,"2016-06-23",3,1,851488,21,8
477,"2016-06-25",4,1,855442,29,10
478,"2016-06-25",4,1,913248,5,3
479,"2016-06-25",3,2,1028224,23,5
480,"2016-06-25",4,1,530816,39,10
481,"2016-06-26",3,4,1166780,5,8
482,"2016-06-26",5,3,1983123,49,5
483,"2016-06-26",3,1,946710,2,6
484,"2016-06-27",4,2,1506438,44,1
485,"2016-06-27",6,3,1093608,12,6
486,"2016-06-27",6,2,2199476,3,7
487,"2016-06-27",4,1,2475063,31,3
488,"2016-06-28",6,1,1306840,47,4
489,"2016-06-28",4,3,253920,12,8
490,"2016-06-29",1,4,1911312,13,10
491,"2016-06-29",6,2,358670,26,8
492,"2016-06-30",2,1,1298328,20,8
493,"2016-06-30",1,1,1948583,4,10
494,"2016-06-30",6,4,1729762,39,1
495,"2016-06-30",3,4,2578696,45,5
496,"2016-06-30",6,1,1166065,19,8
497,"2016-06-30",3,2,1316073,15,7
498,"2016-06-30",4,3,1004740,4,9
499,"2016-07-01",4,4,531432,35,5
500,"2016-07-01",5,1,2238000,25,6
501,"2016-07-02",4,1,965006,42,8
502,"2016-07-02",6,1,2087904,2,9
503,"2016-07-02",6,4,647352,34,3
504,"2016-07-02",3,1,1216254,37,3
505,"2016-07-02",5,3,860172,28,10
506,"2016-07-02",5,3,1207195,40,5
507,"2016-07-02",5,3,1032546,13,3
508,"2016-07-02",2,4,2297538,17,6
509,"2016-07-03",1,3,428240,30,5
510,"2016-07-03",5,4,1175860,33,4
511,"2016-07-03",5,1,258560,19,7
512,"2016-07-03",1,3,1782940,16,2
513,"2016-07-03",4,4,1841622,45,10
514,"2016-07-04",4,3,741228,43,2
515,"2016-07-05",3,4,262777,25,1
516,"2016-07-05",3,4,720902,2,5
517,"2016-07-05",5,2,1313526,31,10
518,"2016-07-05",4,2,638064,40,1
519,"2016-07-06",6,4,682773,33,2
520,"2016-07-06",4,1,279342,27,10
521,"2016-07-06",1,4,740355,13,8
522,"2016-07-06",4,1,1293400,9,1
523,"2016-07-06",4,2,1429380,36,5
524,"2016-07-07",6,4,1536576,41,1
525,"2016-07-07",1,1,1249360,46,8
526,"2016-07-08",1,2,1594404,10,1
527,"2016-07-08",5,4,935781,36,4
528,"2016-07-09",7,1,2273040,7,6
529,"2016-07-09",5,1,1414602,7,6
530,"2016-07-09",2,1,446856,42,1
531,"2016-07-09",5,4,712768,17,3
532,"2016-07-09",2,1,999726,2,6
533,"2016-07-10",1,3,606024,46,9
534,"2016-07-11",3,2,410316,39,3
535,"2016-07-11",5,1,1730680,11,3
536,"2016-07-11",4,2,1292123,20,7
537,"2016-07-11",2,2,1031121,44,7
538,"2016-07-12",5,2,2161134,45,8
539,"2016-07-13",1,4,761793,28,6
540,"2016-07-13",1,3,565587,5,5
541,"2016-07-13",4,2,251596,28,9
542,"2016-07-13",3,4,1514968,26,3
543,"2016-07-13",5,3,564186,36,9
544,"2016-07-14",3,3,694331,45,2
545,"2016-07-15",2,1,419348,23,7
546,"2016-07-17",5,1,628095,40,5
547,"2016-07-17",4,2,1000000,36,1
548,"2016-07-17",1,4,2330042,15,9
549,"2016-07-17",2,2,1403988,22,2
550,"2016-07-18",4,1,1711325,30,9
551,"2016-07-18",6,2,2215002,32,9
552,"2016-07-18",2,4,804625,42,2
553,"2016-07-18",3,4,1568754,12,3
554,"2016-07-18",1,4,867009,35,2
555,"2016-07-19",6,2,1289748,45,9
556,"2016-07-19",4,1,567492,33,8
557,"2016-07-20",6,2,1916442,49,2
558,"2016-07-21",6,2,1875012,13,2
559,"2016-07-21",2,3,1590104,13,10
560,"2016-07-22",5,3,1412175,1,4
561,"2016-07-22",1,1,280741,28,8
562,"2016-07-22",6,2,960526,49,4
563,"2016-07-22",6,4,1272216,45,8
564,"2016-07-22",4,1,513968,35,5
565,"2016-07-22",4,4,917868,45,2
566,"2016-07-23",2,2,1881950,45,6
567,"2016-07-23",2,4,469910,44,7
568,"2016-07-23",2,1,639999,36,5
569,"2016-07-23",2,3,700398,26,2
570,"2016-07-24",4,1,659808,44,4
571,"2016-07-24",5,3,322036,42,4
572,"2016-07-25",2,3,1897155,43,9
573,"2016-07-25",1,3,1038825,8,6
574,"2016-07-25",2,1,251430,7,1
575,"2016-07-25",1,4,1877400,2,2
576,"2016-07-26",4,4,435348,15,1
577,"2016-07-26",3,4,889658,16,2
578,"2016-07-26",3,2,1571973,3,8
579,"2016-07-26",5,2,811780,7,10
580,"2016-07-27",1,3,1634884,18,9
581,"2016-07-27",7,3,1742020,30,2
582,"2016-07-28",5,1,2584480,15,4
583,"2016-07-28",2,3,1767744,15,3
584,"2016-07-29",4,2,1077601,9,7
585,"2016-07-29",1,2,1050203,14,6
586,"2016-07-29",3,1,613921,32,6
587,"2016-07-30",6,4,1286344,37,2
588,"2016-07-30",2,3,469168,30,4
589,"2016-07-30",3,3,1372686,46,9
590,"2016-07-31",4,3,627570,29,2
591,"2016-07-31",4,2,435712,46,5
592,"2016-07-31",1,2,999630,43,3
593,"2016-08-01",4,3,1234974,20,7
594,"2016-08-01",5,3,1148436,30,2
595,"2016-08-01",5,4,1343798,31,5
596,"2016-08-01",1,1,358360,5,8
597,"2016-08-02",4,1,323760,31,2
598,"2016-08-03",4,1,735456,5,4
599,"2016-08-05",2,1,738568,18,3
600,"2016-08-05",3,4,1275646,34,7
601,"2016-08-05",4,2,919632,36,3
602,"2016-08-06",5,2,1218763,30,3
603,"2016-08-06",4,4,1408182,19,5
604,"2016-08-07",2,1,704323,44,3
605,"2016-08-07",6,1,1817264,6,4
606,"2016-08-07",1,1,360765,47,10
607,"2016-08-07",1,4,418019,35,5
608,"2016-08-08",4,1,1117620,6,8
609,"2016-08-08",4,1,1790880,21,10
610,"2016-08-08",2,4,1058545,39,10
611,"2016-08-08",4,4,2658936,1,3
612,"2016-08-08",4,2,879244,2,1
613,"2016-08-08",5,4,1879200,1,2
614,"2016-08-09",4,4,1085705,45,8
615,"2016-08-09",2,1,1992320,21,10
616,"2016-08-09",6,4,1237929,15,4
617,"2016-08-10",6,1,1283980,40,3
618,"2016-08-10",3,1,391560,24,2
619,"2016-08-10",4,4,705963,33,7
620,"2016-08-11",4,4,406290,26,6
621,"2016-08-11",5,3,2171128,36,9
622,"2016-08-11",6,4,1116348,32,2
623,"2016-08-12",2,3,577656,35,10
624,"2016-08-12",5,3,1122352,49,9
625,"2016-08-12",5,2,2171826,27,4
626,"2016-08-13",6,3,2061131,44,2
627,"2016-08-13",1,1,494758,22,4
628,"2016-08-13",4,3,1360828,25,2
629,"2016-08-14",6,2,1427019,7,7
630,"2016-08-14",1,2,1567060,38,3
631,"2016-08-14",1,4,1972816,42,1
632,"2016-08-14",6,2,1816437,41,10
633,"2016-08-14",1,2,1191044,42,7
634,"2016-08-15",6,3,2576432,39,2
635,"2016-08-15",2,2,981651,2,3
636,"2016-08-15",6,3,1161477,22,2
637,"2016-08-15",1,4,938030,20,5
638,"2016-08-15",4,3,915704,33,9
639,"2016-08-16",6,2,2646181,36,9
640,"2016-08-16",5,3,1243060,39,10
641,"2016-08-16",3,2,2306238,19,10
642,"2016-08-17",5,2,711382,24,7
643,"2016-08-17",5,1,2338095,6,5
644,"2016-08-17",5,3,1162104,27,1
